equipment_type_desc,category,sum_power
Bath GFCI Outlet,Other,53.205
Bath GFI,Other,32.375
Bath Heat,Other,55.206
Bath Heat ,Heating,28.055
Bath Heat APPL,Other,410.326
Bath Heat Fan Lite,Other,58.221
Bath Heater,Heating,0.922
Bath Heater,Other,329.683
Bath Lights,Other,148.737
Bath Outlet,Other,248.58700000000002
Bath Outlets,Other,1115.549
Bath Plug,Other,22.843
Bath Plugs,Other,200.98000000000002
Bath Receptacles ,Other,12.626000000000001
Bath Room,Other,181.77700000000002
Bath/ M. Bedroom,Other,195.637
Bath/Bed Lts,Other,1432.592
Bath/Utility GFI,Other,185.105
Bath/utility Room,Other,56.943
Bathroom,Other,6369.014
Bathroom - Dine,Other,1369.392
Bathroom & Patio Outlets,Other,1208.036
Bathroom 1 Septic Pump,Other,21.217
Bathroom 2&3,Other,99.642
Bathroom Circuits,Other,271.27200000000005
Bathroom Electric Ceiling Radiant Heat,Other,1160.435
Bathroom Floor Heat,Heating,766.804
Bathroom GFCI,Other,499.511
Bathroom GFCI & Dishwasher,Other,284.692
Bathroom GFCI Outlets,Other,0.44
Bathroom GFI,Other,748.5029999999999
Bathroom Heat,Other,0.098
Bathroom Heat/vent,Other,1467.7740000000001
Bathroom Light/fan,Other,757.793
Bathroom Lights,Other,177.118
Bathroom Lights & Fan,Other,861.215
Bathroom Lights And Outlets,Other,1117.73
Bathroom Lights And Plugs,Other,48.346000000000004
Bathroom Near Entry - Outlets,Other,39.997
Bathroom Near Entry And Guest Room - Outlets,Other,365.471
Bathroom Outlet,Other,24.274
Bathroom Outlet - Not Installed,Other,0.093
Bathroom Outlets,Other,297.838
Bathroom Plugs,Other,1.192
Bathroom Receptacles,Other,455.69100000000003
Bathroom Vanity + Outlet Bedroom ,Other,99.666
Bathroom Wall,Other,66.406
"Bathroom, Kitchen",Other,857.134
Bathrooms,Other,37.991
Bathrooms And Lights In Surrounding Areas,Other,80.012
Bathtub Heater,Other,0
Bathtub Pump,Other,18.992
BDR ,Other,763.073
Bed 2 & 3,Other,838.025
Bed 2-3,Other,195.779
Bed Rm #2,Other,431.1
Bed/bath,Other,430.229
Bed/Bath Heat,Heating,1098.306
Bedroom,Other,4540.8240000000005
Bedroom ,Other,625.023
"Bedroom & Closet, Master Bath Lights & Fan, Wall",Other,236.225
"Bedroom 1&2, Porch Light, Kitchen",Other,1269.86
Bedroom 3 Outlets,Other,2.0509999999999997
Bedroom And Bathroom,Other,250.792
Bedroom Baseboard Heaters,Heating,52.052
Bedroom Cct 1,Other,0
Bedroom Cct 2,Other,810.7
Bedroom Cct 3,Other,7910.201
Bedroom Circuit,Other,75.792
Bedroom Circuit 1,Other,2510.71
Bedroom Circuit 2,Other,2255.9590000000003
Bedroom Closet,Other,0
Bedroom Heater ,Heating,0.008
Bedroom Light,Other,1932.134
Bedroom Lights,Other,3521.991
Bedroom Lights & Plugs,Other,3307.274
Bedroom Lights + Plugs,Other,2559.023
Bedroom Lights And Outlets,Other,2720.177
Bedroom Lights Kids ,Other,247.929
"Bedroom Outlet, Etc.",Other,114.935
Bedroom Outlets,Other,5757.267
Bedroom Plug,Other,596.8950000000001
Bedroom Plugs,Other,382.771
Bedroom Plugs + Lights,Other,262.82099999999997
Bedroom Power,Other,343.999
Bedroom Radiant Ceiling Heat,Other,83
Bedroom/playroom,Other,1853.3319999999999
Bedrooms,Other,7851.952
"Beds 2&3 Plugs & Lights, Main Bath Plugs & Lights",Other,187.412
"Beds 3&4 Plugs & Lights, Master Bed Plugs & Lights",Other,1170.772
Bidet,Other,145.75
Bk Bedroom 1,Other,38.82
Bk Bedroom 2,Other,371.305
Blank,Other,713.428
Blank ,Other,4057.105
Blank #10,Other,808.244
Blank #11,Other,67.421
Blank #4,Other,1842.577
Blank #6,Other,3233.851
Blank #8,Other,8.206
Blank #9,Other,584.914
Blank 1,Other,9874.581
Blank 10&12,Other,0
Blank 13,Other,0
Blank 2,Other,2584.8450000000003
Blank 3,Other,2445.667
Blank 4,Other,11145.743
Blank 5,Other,1636.438
Blank 6,Other,742.328
Blank 7,Other,67.191
Blank 8,Other,2829.304
Blanks 9&11,Other,0
Bonus Room Lights And Outlets,Other,0.017
Bonus/entry,Other,3657.966
Both Heat Basement Bath,Heating,1099.004
Bottom Oven,Other,58.104
Breakfast Room/master Bedroom,Other,1869.084
Buffet Outlet,Other,8.659
Cadet Heater,Heating,835.175
Cadet Heater Downstairs,Heating,0
Cadet Heater Upstairs,Heating,10.171000000000001
Carport + Outside / Kitchen Outlets,Other,78.191
"Carport, Lights, Recp",Other,418.031
Ceiling Radiant Heat 3,Heating,583.508
Central AC,AC,978.528
Central Fan,Other,506.811
Central Vac,Other,137.064
Central Vac System ,Other,13.943999999999999
Central Vacuum,Other,195.28
Chest Freezer ,Appliances,154.81199999999998
Christmas Lights,Other,1540.425
Circuit ,Other,253.27300000000002
"Clothes Dryer, House ",Appliances,375.079
Clothes Washer ,Appliances,7.115
Computer,Other,2609.658
Computer Outlet Only,Other,567.839
Computer Outlets,Other,449.31600000000003
Computer Plugs,Other,49.078
Computer Room,Other,1102.114
Computer Room Outlets,Other,235.82799999999997
Cook Top,Appliances,1461.695
Cooktop,Appliances,132.886
Cooling,AC,0.044
Counter Cooktop,Appliances,866.239
Den,Other,1461.519
Den + Living Room Outlets,Other,398.473
Den + Utility Room Heat,Heating,0.706
Den Lights / Wall Outlets,Other,0.002
"Den, Living Rm, Entry, Front Lights",Other,306.123
Den/Liv Room Outlets,Other,1105.112
Dine Plugs,Other,425.375
Dine/Kit/Live Lits,Other,7756.928
Dining,Other,231.769
Dining & Kitchen Plugs,Other,895.1650000000001
Dining & Living Rooms,Other,3195.013
Dining & Microwave ,Other,78.484
Dining Lights ,Other,650.21
Dining Plugs - North Wall,Other,6339.264
Dining Rec,Other,432.72400000000005
Dining Room,Other,443.791
Dining Room & Hallway Lights & Outlets,Other,2023.942
Dining Room & Kitchen,Other,508.057
Dining Room East Wall Outlets,Other,37.512
Dining Room Lights And Outlets,Other,174.977
Dining Room Outlets,Other,1516.651
Dining Room Plugs,Other,56.745
Dining Room Plugs ,Other,115.789
Dining Room Recepts,Other,3412.195
Dining Room/north Bedroom,Other,2096.97
Dining-Hall Lights & Living Lights ,Other,1030.767
Dining/Laundry/Bath Lights,Other,669.992
"Dish Washer, House ",Appliances,114.91999999999999
Dishwasher,Appliances,2852.127
Dishwasher,Other,0.10200000000000001
Dishwasher ,Appliances,61.769999999999996
Dishwasher + Garbage Disposal,Other,175.817
Dishwasher/Disposal,Other,30.766
Disposal,Appliances,2157.679
Disposal,Other,605.134
Disposal ,Appliances,1.568
Disposal & Microwave,Other,254.972
Disposal + Others,Appliances,0.458
Door Opener,Other,662.943
Double Oven,Appliances,426.944
Down Bathroom,Other,42.104
Down Bed #1,Other,161.017
Down Bed #2,Other,351.658
Down Bedroom & Office,Other,8185.19
Downstairs Bathroom,Other,300.298
Downstairs Bathroom Electric Ceiling Radiant Heat,Heating,0
Downstairs Bathroom Lights And Outlets,Other,85.22200000000001
Downstairs Bathroom Outlets,Other,247.777
Downstairs Bedroom,Other,7985.648
Downstairs Bedroom Outlets,Other,91.997
Downstairs East Bedroom,Other,3023.13
Downstairs Electronics,Other,552.218
Downstairs Family Room,Other,3429.547
Downstairs Lights And Outlets,Other,1039.065
Downstairs Lights And Plugs,Other,1432.14
Downstairs Master,Other,6333.226
Downstairs Outlets,Other,2507.293
Downstairs Plugs,Other,1749.1009999999999
Downstairs Water Heater,Heating,641.6610000000001
Dryer,Appliances,13758.162
Dryer ,Appliances,366.33799999999997
Dryer Plug,Other,0
Ductless HP,Heating,1328.81
Dustin/Ryan,Other,946.106
East And South Side Kitchen Outlets,Other,4399.328
Edward/Edison/Laundry/Kitchen Lights ,Other,389.239
Electric - Air Source Heat Pump,AC,2746.434
Electric - Air Source Heat Pump,Heating,505814.67799999996
Electric - Central AC,AC,88719.35900000001
Electric - Central AC,Heating,39388.8
Electric - Dryer,Appliances,259388.652
Electric - Electric Baseboard,Heating,122734.756
Electric - Furnace,Heating,464862.505
Electric - Furnace,Other,1939.057
Electric - Mini-Split HP,Heating,175011.637
Electric - Water Heater - Electric Heat Pump ,Heating,16401.892
