equipment_type_desc,circuit_label_type_desc,sum_power,category
Kitchen Plug,Other,2.997,Other
Kitchen Plug,Other,46.967000000000006,Other
Kitchen Plug-Ins,Other,86.288,Other
Kitchen Plugs,Other,570.061,Other
Kitchen Plugs,Other,1164.967,Other
Kitchen Plugs - East Wall,Other,118.327,Other
Kitchen Plugs,Other,6.757000000000001,Other
Kitchen Plugs,Other,157.669,Other
Kitchen Plugs 1,Other,13.564,Other
Kitchen Plugs 2,Other,730.941,Other
Kitchen Plugs 3,Other,75.03,Other
Kitchen Receptacles,Other,184.778,Other
Kitchen Receptacles 1,Other,268.164,Other
Kitchen Receptacles 2,Other,55.029,Other
Kitchen Small Appliances,Other,38.204,Other
"Kitchen, 1st Flr Hallway, And Dining Lights",Other,173.532,Other
"Kitchen, Back Porch Lights",Other,443.274,Other
"Kitchen, Dining, Deck Flood Lights",Other,37.687,Other
"Kitchen, Dining, Family Room Outlets",Other,189.779,Other
"Kitchen, Garage",Other,49.616,Other
"Kitchen, Island, Nook",Other,12.541,Other
Kitchen/aisle Outlet,Other,10.734,Other
Kitchen/Dining,Other,294.679,Other
Kitchen/dining Lights,Other,112.862,Other
Kitchen/Dining Outlets,Other,57.95,Other
Laundry,Other,31.63,Other
Laundry Lights + Master Bth Lights And Fan,Other,87.391,Other
Laundry Plug,Other,10.989,Other
Laundry Room,Other,18.786,Other
Laundry Room,Other,28.753999999999998,Other
Laundry Room Lights,Other,86.10600000000001,Other
Laundry Room Lights And Outlets,Other,26.291999999999998,Other
"Laundry Room Lights, Family Room Outlet, And Master Outlets",Other,73.889,Other
Laundry Room Lights/back Porch,Other,50.753,Other
Laundry Room Outlet,Clothes Washer,16.98,Appliances
Laundry Room Outlets,Other,7.1450000000000005,Other
Laundry Room Outlets,Other,8.269,Other
Laundry Room Outlets,Other,37.585,Other
Library Outlets,Other,207.568,Other
Light,Other,219.085,Other
Light & Plugs,Other,674.6800000000001,Other
Lighting,Other,665.376,Other
Lighting,Other,1763.7730000000001,Other
Lighting - All Bedrooms,Other,71.753,Other
Lighting,Other,244.49699999999999,Other
